id,lastTicketingDate,lastTicketingDateTime,numberOfBookableSeats,validatingAirlineCodes,Duration,Number of Stops,Airline,Base Price,Grand Total Price,Currency.1,Total Price.1,Base Price.1,Branded Fares,Branded Fare Labels,Included Checked Bags Quantities,BAGGAGE_description,BAGGAGE_isChargeable,BRANDED_FARES_description,BRANDED_FARES_isChargeable,BRANDED_FARES_amenityProvider,PRE_RESERVED_SEAT_description,PRE_RESERVED_SEAT_isChargeable,PRE_RESERVED_SEAT_amenityProvider,TRAVEL_SERVICES_description,TRAVEL_SERVICES_isChargeable,TRAVEL_SERVICES_amenityProvider,Origin Airport,Flight duration 1,Airport layover 1,Flight duration 2,Airport layover 2,Flight duration 3,Firt flight departure,Second flight departure,Third flight departure,Firt flight arrival,Second flight arrival,Third flight arrival,Origin airport,1st layover,2nd layover,Branded Fares Lables,Meal Option
274,2024-05-25,2024-05-25,9,UA,PT11H55M,1,UA,904.0,1111.71,EUR,1111.71,904.0,BE,BASIC ECONOMY,0,CHECKED BAG FIRST,True,MILEAGE ACCRUAL,False,BrandedFare,PRE RESERVED SEAT ASSIGNMENT,True,BrandedFare,PRIORITY BOARDING,True,BrandedFare,CPH, PT1H35M, MUC, PT8H55M,,,2024-06-19T08:55:00, 2024-06-19T11:55:00,,2024-06-19T10:30:00, 2024-06-19T14:50:00,,CPH, MUC,,BE,
275,2024-05-25,2024-05-25,9,UA,PT14H45M,1,UA,904.0,1111.71,EUR,1111.71,904.0,BE,BASIC ECONOMY,0,CHECKED BAG FIRST,True,MILEAGE ACCRUAL,False,BrandedFare,PRE RESERVED SEAT ASSIGNMENT,True,BrandedFare,PRIORITY BOARDING,True,BrandedFare,CPH, PT1H35M, MUC, PT8H55M,,,2024-06-19T06:05:00, 2024-06-19T11:55:00,,2024-06-19T07:40:00, 2024-06-19T14:50:00,,CPH, MUC,,BE,
276,2024-05-25,2024-05-25,9,UA,PT12H10M,1,UA,904.0,1112.23,EUR,1112.23,904.0,BE,BASIC ECONOMY,0,CHECKED BAG FIRST,True,MILEAGE ACCRUAL,False,BrandedFare,PRE RESERVED SEAT ASSIGNMENT,True,BrandedFare,PRIORITY BOARDING,True,BrandedFare,CPH, PT1H35M, BRU, PT8H25M,,,2024-06-19T06:50:00, 2024-06-19T10:35:00,,2024-06-19T08:25:00, 2024-06-19T13:00:00,,CPH, BRU,,BE,
277,2024-05-25,2024-05-25,9,AC,PT15H58M,1,AC,904.0,1113.83,EUR,1113.83,904.0,BASIC,BASIC,0,CHECKED BAG FIRST,True,BASIC SEAT,True,BrandedFare,,,,,,,CPH, PT8H15M, YYZ, PT1H53M,,,2024-06-19T12:25:00, 2024-06-19T20:30:00,,2024-06-19T14:40:00, 2024-06-19T22:23:00,,CPH, YYZ,,BASIC,COMPLIMENTARY MEAL
278,2024-05-25,2024-05-25,9,UA,PT15H58M,1,UA,904.0,1113.83,EUR,1113.83,904.0,BE,BASIC ECONOMY,0,CHECKED BAG FIRST,True,MILEAGE ACCRUAL,False,BrandedFare,PRE RESERVED SEAT ASSIGNMENT,True,BrandedFare,PRIORITY BOARDING,True,BrandedFare,CPH, PT8H15M, YYZ, PT1H53M,,,2024-06-19T12:25:00, 2024-06-19T20:30:00,,2024-06-19T14:40:00, 2024-06-19T22:23:00,,CPH, YYZ,,BE,
279,2024-05-25,2024-05-25,9,UA,PT13H5M,1,UA,904.0,1114.61,EUR,1114.61,904.0,BE,BASIC ECONOMY,0,CHECKED BAG FIRST,True,MILEAGE ACCRUAL,False,BrandedFare,PRE RESERVED SEAT ASSIGNMENT,True,BrandedFare,PRIORITY BOARDING,True,BrandedFare,CPH, PT1H30M, FRA, PT8H30M,,,2024-06-19T06:20:00, 2024-06-19T10:55:00,,2024-06-19T07:50:00, 2024-06-19T13:25:00,,CPH, FRA,,BE,
280,2024-05-25,2024-05-25,9,UA,PT14H,1,UA,904.0,1114.61,EUR,1114.61,904.0,BE,BASIC ECONOMY,0,CHECKED BAG FIRST,True,MILEAGE ACCRUAL,False,BrandedFare,PRE RESERVED SEAT ASSIGNMENT,True,BrandedFare,PRIORITY BOARDING,True,BrandedFare,CPH, PT1H30M, FRA, PT8H55M,,,2024-06-19T12:05:00, 2024-06-19T17:10:00,,2024-06-19T13:35:00, 2024-06-19T20:05:00,,CPH, FRA,,BE,
281,2024-05-25,2024-05-25,9,UA,PT16H25M,1,UA,904.0,1114.61,EUR,1114.61,904.0,BE,BASIC ECONOMY,0,CHECKED BAG FIRST,True,MILEAGE ACCRUAL,False,BrandedFare,PRE RESERVED SEAT ASSIGNMENT,True,BrandedFare,PRIORITY BOARDING,True,BrandedFare,CPH, PT1H30M, FRA, PT8H55M,,,2024-06-19T09:40:00, 2024-06-19T17:10:00,,2024-06-19T11:10:00, 2024-06-19T20:05:00,,CPH, FRA,,BE,
282,2024-05-25,2024-05-25,9,UA,PT19H45M,1,UA,904.0,1114.61,EUR,1114.61,904.0,BE,BASIC ECONOMY,0,CHECKED BAG FIRST,True,MILEAGE ACCRUAL,False,BrandedFare,PRE RESERVED SEAT ASSIGNMENT,True,BrandedFare,PRIORITY BOARDING,True,BrandedFare,CPH, PT1H30M, FRA, PT8H55M,,,2024-06-19T06:20:00, 2024-06-19T17:10:00,,2024-06-19T07:50:00, 2024-06-19T20:05:00,,CPH, FRA,,BE,
283,2024-05-25,2024-05-25,9,OS,PT16H10M,1,OS,904.0,1128.81,EUR,1128.81,904.0,ECOLIGHT,ECONOMY LIGHT,0,1ST BAG UPTO50LB23KG 62LI158CM,True,STANDARD SEAT RESERVATION,True,BrandedFare,,,,,,,CPH, PT1H40M, VIE, PT8H,,,2024-06-19T09:50:00, 2024-06-19T18:00:00,,2024-06-19T11:30:00, 2024-06-19T20:00:00,,CPH, VIE,,ECOLIGHT,CATERING ON EUROPE FLTS
