numberOfBookableSeats,validatingAirlineCodes,Duration,Number of Stops,Grand Total Price,Branded Fare Labels,Included Checked Bags Quantities,Flight duration 1,Airport layover 1,Flight duration 2,Airport layover 2,Flight duration 3,Flight depature date,Departure Time,Arrival Time,Day of Week Departure,Day Type Departure,Log Grand Total Price
9,AF,16.75,1,1233.21,ECONOMY LIGHT,0,1.4166666666666667, AMS,8.25,No layover,0.0,2024-06-17,Morning,Afternoon,Monday,Weekday,7.1173758049638725
9,AF,19.166666666666668,1,1233.21,ECONOMY LIGHT,0,1.4166666666666667, AMS,8.083333333333334,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,7.1173758049638725
9,AF,12.416666666666666,1,1238.16,ECONOMY LIGHT,0,2.083333333333333, CDG,8.25,No layover,0.0,2024-06-17,Morning,Afternoon,Monday,Weekday,7.121381685604504
9,AF,12.583333333333334,1,1238.16,ECONOMY LIGHT,0,2.0, CDG,7.916666666666667,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.121381685604504
9,AF,12.75,1,1238.16,ECONOMY LIGHT,0,2.0, CDG,8.333333333333334,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.121381685604504
9,AF,14.583333333333334,1,1238.16,ECONOMY LIGHT,0,2.0, CDG,8.166666666666666,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.121381685604504
9,AF,15.083333333333334,1,1238.16,ECONOMY LIGHT,0,2.0, CDG,8.333333333333334,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,7.121381685604504
9,AF,16.333333333333332,1,1238.16,ECONOMY LIGHT,0,2.0, CDG,7.916666666666667,No layover,0.0,2024-06-17,Afternoon,Evening,Monday,Weekday,7.121381685604504
9,AF,16.916666666666668,1,1238.16,ECONOMY LIGHT,0,2.0, CDG,8.166666666666666,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,7.121381685604504
9,AF,18.5,1,1238.16,ECONOMY LIGHT,0,2.083333333333333, CDG,8.333333333333334,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,7.121381685604504
9,AF,18.666666666666668,1,1238.16,ECONOMY LIGHT,0,2.0, CDG,7.916666666666667,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,7.121381685604504
9,AF,20.33333333333333,1,1238.16,ECONOMY LIGHT,0,2.083333333333333, CDG,8.166666666666666,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,7.121381685604504
9,AF,22.08333333333333,1,1248.73,ECONOMY LIGHT,0,2.083333333333333, CDG,7.916666666666667,No layover,0.0,2024-06-17,Morning,Evening,Monday,Weekday,7.12988231381849
9,AF,12.083333333333334,1,1626.16,ECONOMY LIGHT,0,2.0, CDG,8.333333333333334,No layover,0.0,2024-06-17,Morning,Afternoon,Monday,Weekday,7.393976686250706
9,SK,9.0,0,1956.03,SAS GO PRO,1,9.0,No layover,0.0,No layover,0.0,2024-06-17,Afternoon,Afternoon,Monday,Weekday,7.578672187900459
9,SK,9.0,0,1956.03,SAS GO PRO,1,9.0,No layover,0.0,No layover,0.0,2024-06-17,Afternoon,Afternoon,Monday,Weekday,7.578672187900459
9,FI,17.833333333333332,1,429.83,ECONOMY LIGHT,0,3.333333333333333, KEF,6.166666666666667,No layover,0.0,2024-06-18,Morning,Evening,Tuesday,Weekday,6.063389781679444
9,FI,32.333333333333336,1,431.17,ECONOMY LIGHT,0,3.25, KEF,6.166666666666667,No layover,0.0,2024-06-18,Afternoon,Evening,Tuesday,Weekday,6.066502443890595
9,TP,32.416666666666664,1,439.66,DISCOUNT,0,3.9166666666666665, LIS,8.0,No layover,0.0,2024-06-18,Afternoon,Evening,Tuesday,Weekday,6.086001700931971
1,AY,13.083333333333334,1,465.92,ECONOMY LIGHT,0,2.083333333333333, LGW,8.0,No layover,0.0,2024-06-18,Morning,Evening,Tuesday,Weekday,6.1440139455682665
1,AY,26.416666666666668,1,465.92,ECONOMY LIGHT,0,2.0, LGW,8.0,No layover,0.0,2024-06-18,Evening,Evening,Tuesday,Weekday,6.1440139455682665
1,AY,30.25,1,465.92,ECONOMY LIGHT,0,2.0, LGW,8.0,No layover,0.0,2024-06-18,Afternoon,Evening,Tuesday,Weekday,6.1440139455682665
1,AY,31.666666666666668,1,465.92,ECONOMY LIGHT,0,2.0, LGW,8.0,No layover,0.0,2024-06-18,Afternoon,Evening,Tuesday,Weekday,6.1440139455682665
1,AY,33.666666666666664,1,465.92,ECONOMY LIGHT,0,2.0, LGW,8.0,No layover,0.0,2024-06-18,Afternoon,Evening,Tuesday,Weekday,6.1440139455682665
